#OG_name	Apoc_proteins.faa	Nvec_proteins.faa	Ahya_proteins.faa
OG_579	2	3	0
OG_580	2	1	1
OG_581	1	1	2
OG_582	2	2	1
OG_583	2	0	6
OG_584	7	4	1
OG_585	11	8	7
OG_586	5	2	0
OG_587	17	2	8
OG_588	5	8	0
OG_589	6	0	3
OG_590	21	0	17
OG_591	17	0	3
OG_592	5	1	1
OG_593	5	4	1
OG_594	3	4	4
OG_595	18	1	2
OG_596	26	17	13
OG_597	2	0	14
OG_598	10	2	3
OG_599	2	0	2
OG_600	6	3	8
OG_601	14	7	6
OG_602	10	9	1
OG_603	8	0	3
OG_604	7	8	9
OG_605	15	5	1
OG_606	6	5	15
OG_607	8	0	1
OG_608	12	2	1
OG_609	2	1	2
OG_610	12	1	1
OG_611	17	4	16
OG_612	7	1	1
OG_613	3	3	0
OG_614	2	0	2
OG_615	29	20	11
OG_616	1	3	5
OG_617	19	12	9
OG_618	4	1	3
OG_619	3	4	1
OG_620	10	1	3
OG_621	24	5	0
OG_622	5	3	4
OG_623	24	0	2
OG_624	10	1	2
OG_625	12	2	1
OG_626	11	7	1
OG_627	3	0	5
OG_628	21	1	0
OG_629	9	2	2
OG_630	6	0	1
OG_631	7	16	13
OG_632	4	0	5
OG_633	11	1	6
OG_634	13	20	6
OG_635	10	3	2
OG_636	11	3	7
OG_637	8	2	9
OG_638	28	1	2
OG_639	6	14	9
OG_640	18	4	17
OG_641	8	2	1
OG_642	1	1	2
OG_643	5	6	9
OG_644	12	2	6
OG_645	4	0	1
OG_646	3	2	1
OG_647	22	17	10
OG_648	3	3	2
OG_649	14	1	7
OG_650	9	0	1
OG_651	5	0	1
OG_652	25	15	9
OG_653	9	0	4
OG_654	1	1	3
OG_655	39	0	10
OG_656	6	1	0
OG_657	7	3	4
OG_658	5	4	3
OG_659	11	11	17
OG_660	4	10	1
OG_661	3	2	2
OG_662	8	12	0
OG_663	4	1	5
OG_664	15	1	19
OG_665	2	4	2
OG_666	14	5	5
OG_667	4	4	0
OG_668	6	0	1
OG_669	14	1	1
OG_670	4	0	14
OG_671	1	1	5
OG_672	1	2	2
OG_673	15	0	12
OG_674	2	2	6
OG_675	4	1	0
OG_676	26	10	3
OG_677	1	0	12
OG_678	13	0	3
OG_679	7	0	1
OG_680	10	6	8
OG_681	6	0	5
OG_682	16	9	7
OG_683	5	2	7
OG_684	21	10	10
OG_685	9	0	2
OG_686	14	0	6
OG_687	6	4	2
OG_688	9	1	3
OG_689	19	10	3
OG_690	12	1	0
OG_691	4	5	1
OG_692	9	0	7
OG_693	6	0	7
OG_694	1	1	4
OG_695	13	1	0
OG_696	4	0	5
OG_697	20	2	9
OG_698	4	9	1
OG_699	31	3	18
OG_700	2	4	7
OG_701	8	3	0
OG_702	16	9	23
OG_703	10	21	7
OG_704	8	3	2
OG_705	3	0	8
OG_706	15	1	2
OG_707	4	0	2
OG_708	7	4	1
OG_709	22	0	8
OG_710	2	0	3
OG_711	2	0	3
OG_712	4	1	4
OG_713	25	0	9
OG_714	12	3	9
OG_715	13	0	23
OG_716	9	1	10
OG_717	2	0	6
OG_718	11	1	4
OG_719	4	1	16
OG_720	18	0	8
OG_721	4	4	4
OG_722	48	3	15
OG_723	15	6	0
OG_724	6	1	1
OG_725	17	5	5
OG_726	1	0	9
OG_727	4	7	1
OG_728	2	0	6
OG_729	6	0	2
OG_730	12	5	2
OG_731	4	1	0
OG_732	3	6	8
OG_733	11	1	8
OG_734	5	5	2
OG_735	3	1	7
OG_736	20	1	4
OG_737	15	3	31
OG_738	1	0	5
OG_739	5	0	8
OG_740	5	0	1
OG_741	22	8	36
OG_742	10	0	1
OG_743	3	2	9
OG_744	8	0	4
OG_745	9	1	5
OG_746	14	1	14
OG_747	3	12	0
OG_748	9	0	3
OG_749	1	2	4
OG_750	4	1	1
OG_751	10	4	10
OG_752	20	6	5
OG_753	1	4	0
OG_754	1	3	4
OG_755	3	0	2
OG_756	11	2	1
OG_757	9	7	25
OG_758	1	0	3
OG_759	4	6	5
OG_760	1	2	4
OG_761	22	12	14
OG_762	1	2	5
OG_763	13	6	5
OG_764	19	9	12
OG_765	6	1	0
OG_766	9	1	13
OG_767	7	16	9
OG_768	1	5	1
OG_769	3	1	2
OG_770	6	3	8
OG_771	10	8	17
OG_772	2	3	0
OG_773	5	6	9
OG_774	7	6	0
OG_775	3	30	6
OG_776	1	6	0
OG_777	10	7	2
OG_778	4	4	5
OG_779	1	10	0
OG_780	1	4	6
OG_781	0	1	3
OG_782	6	4	5
OG_783	4	2	7
OG_784	11	5	16
OG_785	3	5	3
OG_786	9	4	3
OG_787	6	1	0
OG_788	7	10	2
OG_789	0	2	6
OG_790	1	3	1
OG_791	10	11	2
OG_792	11	15	6
OG_793	2	2	5
OG_794	13	6	4
OG_795	7	5	5
OG_796	1	2	2
OG_797	6	21	12
OG_798	3	7	3
OG_799	2	1	1
OG_800	5	2	1
OG_801	1	10	7
OG_802	5	3	19
OG_803	7	1	0
OG_804	0	1	7
OG_805	11	16	7
OG_806	0	1	3
OG_807	17	6	2
OG_808	3	3	5
OG_809	1	5	3
OG_810	0	5	10
OG_811	3	1	13
OG_812	1	4	0
OG_813	25	14	16
OG_814	7	13	15
OG_815	11	9	7
OG_816	2	5	1
OG_817	10	3	1
OG_818	27	8	21
OG_819	1	6	6
OG_820	4	12	7
OG_821	2	1	1
OG_822	4	4	4
OG_823	10	0	15
OG_824	2	0	4
OG_825	9	0	17
OG_826	1	1	6
OG_827	1	0	8
OG_828	1	0	14
OG_829	3	0	9
OG_830	15	12	17
OG_831	16	4	11
OG_832	21	5	21
OG_833	1	0	9
OG_834	4	2	14
OG_835	18	0	17
OG_836	1	2	6
OG_837	1	0	6
OG_838	5	0	5
OG_839	3	0	4
OG_840	38	17	25
OG_841	1	4	5
OG_842	6	1	5
OG_843	4	4	5
OG_844	2	1	21
OG_845	1	0	6
OG_846	1	1	4
OG_847	14	24	24
OG_848	2	5	33
OG_849	12	4	23
OG_850	1	0	10
OG_851	5	2	8
OG_852	2	0	10
OG_853	20	2	3
OG_854	1	1	4
OG_855	0	1	5
OG_856	14	2	15
OG_857	1	0	8
OG_858	1	0	16
OG_859	16	2	28
OG_860	2	4	11
OG_861	30	6	30
OG_862	13	1	11
OG_863	11	0	9
OG_864	4	21	14
OG_865	2	0	3
OG_866	2	0	4
OG_867	10	1	19
OG_868	18	1	60
OG_869	3	3	19
OG_870	2	0	9
OG_871	5	1	27
OG_872	0	1	5
OG_873	6	13	12
OG_874	6	2	6
OG_875	12	2	5
OG_876	9	3	27
OG_877	2	0	7
OG_878	5	1	14
OG_879	8	12	13
OG_880	1	0	10
OG_881	6	0	6
OG_882	23	26	18
OG_883	4	0	8
OG_884	3	0	4
OG_885	1	2	3
OG_886	10	1	18
OG_887	2	0	11
OG_888	6	0	5
OG_889	21	2	15
OG_890	3	0	4
OG_891	6	1	10
OG_892	2	3	15
OG_893	3	0	4
OG_894	10	4	13
OG_895	2	13	6
OG_896	8	0	1
OG_897	1	0	5
OG_898	1	1	15
OG_899	3	1	6
OG_900	2	0	14
OG_901	9	1	64
OG_902	11	4	10
OG_903	2	0	11
OG_904	6	0	13
OG_905	29	23	46
OG_906	0	1	5
