"","species","GO.ID","Term","Fisher","Significant","ontology","Protein","Protein_abbrv"
"1","Ahya","GO:0003676","nucleic acid binding",4.1e-15,142,"Molecular Functions","Coatomer subunit delta (Archain) (Delta-coat protein) (Delta-COP)","ARCN1 COPD"
"2","Ahya","GO:0003676","nucleic acid binding",4.1e-15,142,"Molecular Functions","DNA excision repair protein ERCC-5 (EC 3.1.-.-) (DNA repair protein complementing XP-G cells) (XPG) (Xeroderma pigmentosum group G-complementing protein)","ERCC5 ERCM2 XPG XPGC"
"3","Ahya","GO:0003676","nucleic acid binding",4.1e-15,142,"Molecular Functions","ATP-dependent DNA helicase Pif1 (EC 5.6.2.3) (DNA 5'-3' helicase Pif1)","pif1 PsycPRwf_1560"
"4","Ahya","GO:0003676","nucleic acid binding",4.1e-15,142,"Molecular Functions","Putative ATP-dependent RNA helicase an3 (EC 3.6.4.13)","an3"
"5","Ahya","GO:0003676","nucleic acid binding",4.1e-15,142,"Molecular Functions","Large ribosomal subunit protein uL2 (60S ribosomal protein L8)","RpL8 AGAP005802"
"6","Ahya","GO:0003676","nucleic acid binding",4.1e-15,142,"Molecular Functions","Putative ATP-dependent RNA helicase R290 (EC 3.6.4.13)","MIMI_R290"
"7","Ahya","GO:0003676","nucleic acid binding",4.1e-15,142,"Molecular Functions","Bifunctional 3'-5' exonuclease/ATP-dependent helicase WRN (DNA helicase, RecQ-like type 3) (RecQ protein-like 2) (Werner syndrome protein) [Includes: 3'-5' exonuclease (EC 3.1.-.-); ATP-dependent helicase (EC 5.6.2.4) (DNA 3'-5' helicase WRN)]","WRN RECQ3 RECQL2"
"8","Ahya","GO:0003676","nucleic acid binding",4.1e-15,142,"Molecular Functions","Uncharacterized protein K02A2.6","K02A2.6"
"9","Ahya","GO:0003676","nucleic acid binding",4.1e-15,142,"Molecular Functions","Histone H3 type 1","ch3-I"
"10","Ahya","GO:0003676","nucleic acid binding",4.1e-15,142,"Molecular Functions","Transcriptional regulator Erg","ERG"
"11","Ahya","GO:0003676","nucleic acid binding",4.1e-15,142,"Molecular Functions","Small ribosomal subunit protein eS19 (40S ribosomal protein S19)","RPS19"
"12","Ahya","GO:0003676","nucleic acid binding",4.1e-15,142,"Molecular Functions","rRNA 2'-O-methyltransferase fibrillarin (EC 2.1.1.-) (Histone-glutamine methyltransferase)","Fib CG9888"
"13","Ahya","GO:0003676","nucleic acid binding",4.1e-15,142,"Molecular Functions","DNA-directed RNA polymerase II subunit RPB1 (RNA polymerase II subunit B1) (EC 2.7.7.6) (DNA-directed RNA polymerase III largest subunit) (RNA polymerase II subunit A)","Polr2A RPB1 RpII215 CG1554"
"14","Ahya","GO:0003676","nucleic acid binding",4.1e-15,142,"Molecular Functions","Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]","pol"
"15","Ahya","GO:0003676","nucleic acid binding",4.1e-15,142,"Molecular Functions","PiggyBac transposable element-derived protein 3","PGBD3"
"16","Ahya","GO:0003676","nucleic acid binding",4.1e-15,142,"Molecular Functions","Gag-Pol polyprotein (Pr160Gag-Pol) [Cleaved into: Matrix protein p17 (MA); Capsid protein p24 (CA); Spacer peptide 1 (SP1) (p2); Nucleocapsid protein p7 (NC); Transframe peptide (TF); p6-pol (p6*); Protease (EC 3.4.23.16) (PR) (Retropepsin); Reverse transcriptase/ribonuclease H (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.13) (Exoribonuclease H) (EC 3.1.13.2) (p66 RT); p51 RT; p15; Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-)]","gag-pol"
"17","Ahya","GO:0003676","nucleic acid binding",4.1e-15,142,"Molecular Functions","Uncharacterized protein K02A2.6","K02A2.6"
"18","Ahya","GO:0003676","nucleic acid binding",4.1e-15,142,"Molecular Functions","Transposon Ty3-I Gag-Pol polyprotein (Gag3-Pol3) (Transposon Ty3-2 TYA-TYB polyprotein) [Cleaved into: Capsid protein (CA) (p24); Spacer peptide p3; Nucleocapsid protein p11 (NC); Ty3 protease (PR) (EC 3.4.23.-) (p16); Spacer peptide J; Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (p55); Integrase p52 (IN); Integrase p49 (IN)]","TY3B-I YILWTy3-1 POL YIL082W-A"
"19","Ahya","GO:0003676","nucleic acid binding",4.1e-15,142,"Molecular Functions","Gag polyprotein (Pr55Gag) [Cleaved into: Matrix protein p17 (MA); Capsid protein p24 (CA); Spacer peptide 1 (SP1) (p2); Nucleocapsid protein p7 (NC); Spacer peptide 2 (SP2) (p1); p6-gag]","gag"
"20","Ahya","GO:0003676","nucleic acid binding",4.1e-15,142,"Molecular Functions","52 kDa repressor of the inhibitor of the protein kinase (p52rIPK) (58 kDa interferon-induced protein kinase-interacting protein) (p58IPK-interacting protein) (Death-associated protein 4) (THAP domain-containing protein 0) (THAP domain-containing protein 12)","THAP12 DAP4 P52RIPK PRKRIR THAP0"
