Query	Taxid	Tax name	Authority	Rank	Basionym	Basionym authority	Curator common name	Has type material	Group name	Domain/Realm name	Domain/Realm taxid	Kingdom name	Kingdom taxid	Phylum name	Phylum taxid	Class name	Class taxid	Order name	Order taxid	Family name	Family taxid	Genus name	Genus taxid	Species name	Species taxid	Scientific name is formal
165419	165419	Astrangia poculata		SPECIES	Madrepora poculata	Ellis & Solander, 1786	northern star coral	no	stony corals	Eukaryota	2759	Metazoa	33208	Cnidaria	6073	Anthozoa	6101	Scleractinia	6125	Rhizangiidae	123764	Astrangia	165417	Astrangia poculata	165419	TRUE
45351	45351	Nematostella vectensis	Stephenson, 1935	SPECIES			starlet sea anemone	no	sea anemones	Eukaryota	2759	Metazoa	33208	Cnidaria	6073	Anthozoa	6101	Actiniaria	6103	Edwardsiidae	45349	Nematostella	45350	Nematostella vectensis	45351	TRUE
55974	55974	Acropora hyacinthus	(Dana, 1846)	SPECIES	Madrepora hyacinthus	Dana, 1846		no	stony corals	Eukaryota	2759	Metazoa	33208	Cnidaria	6073	Anthozoa	6101	Scleractinia	6125	Acroporidae	6126	Acropora	6127	Acropora hyacinthus	55974	TRUE
9606	9606	Homo sapiens	Linnaeus, 1758	SPECIES			human	no	primates	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Primates	9443	Hominidae	9604	Homo	9605	Homo sapiens	9606	TRUE
