"","GO.ID","Term","Annotated","Significant","Expected","Fisher","Genes","ontology","Protein","Protein_abbrv"
"1","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus01292-RA","Molecular Functions","Extracellular calcium-sensing receptor (CaSR) (Parathyroid cell calcium-sensing receptor) (PCaR1) (RaKCaR)","Casr Gprc2a Pcar1"
"2","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus01390-RA","Molecular Functions","Multiple epidermal growth factor-like domains protein 8 (Multiple EGF-like domains protein 8) (Epidermal growth factor-like protein 4) (EGF-like protein 4)","Megf8 Egfl4"
"3","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus04475-RA","Molecular Functions","Polycystin-1-like protein 2 (Polycystin-1L2) (PC1-like 2 protein) (Polycystic kidney disease protein 1-like 2)","Pkd1l2"
"4","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus04476-RA","Molecular Functions","Polycystin-1-like protein 2 (Polycystin-1L2) (PC1-like 2 protein) (Polycystic kidney disease protein 1-like 2)","Pkd1l2"
"5","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus04823-RA","Molecular Functions","Hemicentin-1 (Fibulin-6) (FIBL-6)","Hmcn1"
"6","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus05724-RA","Molecular Functions","Aggrecan core protein (Cartilage-specific proteoglycan core protein) (CSPCP)","ACAN AGC1"
"7","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus05780-RA","Molecular Functions","Mucin-like protein",""
"8","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus06725-RA","Molecular Functions","Hemicentin-1 (Fibulin-6) (FIBL-6)","Hmcn1"
"9","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus08175-RA","Molecular Functions","Hemicentin-1 (Fibulin-6) (FIBL-6)","Hmcn1"
"10","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus09152-RA","Molecular Functions","Protocadherin Fat 4 (hFat4) (Cadherin family member 14) (FAT tumor suppressor homolog 4) (Fat-like cadherin protein FAT-J)","FAT4 CDHF14 FATJ Nbla00548"
"11","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus09833-RA","Molecular Functions","Oncoprotein-induced transcript 3 protein (Liver-specific zona pellucida domain-containing protein)","Oit3 Lzp"
"12","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus10219-RA","Molecular Functions","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1","Svep1"
"13","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus10638-RA","Molecular Functions","Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7)","LRP4 KIAA0816 LRP10 MEGF7"
"14","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus10988-RA","Molecular Functions","Lysyl oxidase homolog 2 (EC 1.4.3.13) (Lysyl oxidase-like protein 2)","Loxl2"
"15","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus11425-RA","Molecular Functions","Oncoprotein-induced transcript 3 protein","OIT3"
"16","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus11936-RA","Molecular Functions","Tolloid-like protein 1 (EC 3.4.24.-) (Metalloprotease xolloid-like) (Xenopus tolloid-like protein 1) (Xlr)","tll1 xlr"
"17","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus12463-RA","Molecular Functions","Versican core protein (Chondroitin sulfate proteoglycan core protein 2) (Chondroitin sulfate proteoglycan 2) (Large fibroblast proteoglycan) (PG-M)","VCAN CSPG2"
"18","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus13453-RA","Molecular Functions","C-type lectin domain family 4 member A (C-type lectin superfamily member 6) (Dendritic cell inhibitory receptor) (CD antigen CD367)","Clec4a Clecsf6 Dcir"
"19","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus13473-RA","Molecular Functions","C-type lectin domain family 4 member A (C-type lectin superfamily member 6) (Dendritic cell inhibitory receptor) (CD antigen CD367)","Clec4a Clecsf6 Dcir"
"20","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus13967-RA","Molecular Functions","Dynein axonemal heavy chain 7 (Axonemal beta dynein heavy chain 7) (Axonemal dynein heavy chain b) (Ciliary dynein heavy chain 7) (Dynein-like protein 7)","Dnah7 Axob Dlp7"
"21","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus14101-RA","Molecular Functions","Protocadherin Fat 4 (FAT tumor suppressor homolog 4) (Fat-like cadherin protein FAT-J)","Fat4 Fatj"
"22","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus14102-RA","Molecular Functions","Protocadherin Fat 4 (hFat4) (Cadherin family member 14) (FAT tumor suppressor homolog 4) (Fat-like cadherin protein FAT-J)","FAT4 CDHF14 FATJ Nbla00548"
"23","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus14512-RA","Molecular Functions","Protein eyes shut homolog","eys"
"24","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus14615-RA","Molecular Functions","Protocadherin Fat 3 (FAT tumor suppressor homolog 3)","Fat3"
"25","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus14681-RA","Molecular Functions","Neurogenic locus Notch protein [Cleaved into: Processed neurogenic locus Notch protein]","N CG3936"
"26","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus14815-RA","Molecular Functions","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (CCP module-containing protein 22) (Polydom) (Selectin-like osteoblast-derived protein) (SEL-OB) (Serologically defined breast cancer antigen NY-BR-38)","SVEP1 C9orf13 CCP22 SELOB"
"27","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus15094-RA","Molecular Functions","Mucin-like protein",""
