"","GO.ID","Term","Annotated","Significant","Expected","Fisher","Genes","ontology","Protein","Protein_abbrv"
"28","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus15226-RA","Molecular Functions","TBC1 domain family member 9 (TBC1 domain family member 9A)","TBC1D9 KIAA0882 TBC1D9A"
"29","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus15441-RA","Molecular Functions","Protocadherin Fat 4 (hFat4) (Cadherin family member 14) (FAT tumor suppressor homolog 4) (Fat-like cadherin protein FAT-J)","FAT4 CDHF14 FATJ Nbla00548"
"30","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus15721-RA","Molecular Functions","Polycystin-1-like protein 2 (Polycystin-1L2) (PC1-like 2 protein) (Polycystic kidney disease protein 1-like 2)","Pkd1l2"
"31","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus17076-RA","Molecular Functions","Fucolectin-1",""
"32","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus17113-RA","Molecular Functions","Fucolectin-1",""
"33","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus17419-RA","Molecular Functions","Pancreatic lipase-related protein 2 (PL-RP2) (Cytotoxic T lymphocyte lipase) (Galactolipase) (EC 3.1.1.26) (Triacylglycerol lipase) (EC 3.1.1.3)","PNLIPRP2"
"34","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus17549-RA","Molecular Functions","Fucolectin-1",""
"35","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus17817-RA","Molecular Functions","Neurocan core protein (Chondroitin sulfate proteoglycan 3)","NCAN CSPG3"
"36","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus17910-RA","Molecular Functions","Fucolectin-4",""
"37","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus18555-RA","Molecular Functions","Polycystin-2 (Curly up) (Cup) (Polycystic kidney disease 2 protein homolog) (Transient receptor potential cation channel subfamily P member 2)","pkd2"
"38","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus18591-RA","Molecular Functions","Polycystin-1-like protein 2 (Polycystin-1L2) (PC1-like 2 protein) (Polycystic kidney disease protein 1-like 2)","Pkd1l2"
"39","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus18672-RA","Molecular Functions","Polycystin family receptor for egg jelly (PKD and REJ homolog) (Polycystic kidney disease and receptor for egg jelly-related protein)","Pkdrej"
"40","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus19805-RA","Molecular Functions","Neurogenic locus notch homolog protein 1 (Notch 1) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]","notch1"
"41","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus20036-RA","Molecular Functions","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1","Svep1"
"42","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus20212-RA","Molecular Functions","Polycystin-1-like protein 2 (Polycystin-1L2) (PC1-like 2 protein) (Polycystic kidney disease protein 1-like 2)","Pkd1l2"
"43","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus20215-RA","Molecular Functions","Polycystin-1-like protein 2 (Polycystin-1L2) (PC1-like 2 protein) (Polycystic kidney disease protein 1-like 2)","Pkd1l2"
"44","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus20555-RA","Molecular Functions","EGF-like repeat and discoidin I-like domain-containing protein 3 (Developmentally-regulated endothelial cell locus 1 protein) (Integrin-binding protein DEL1)","EDIL3 DEL1"
"45","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus20726-RA","Molecular Functions","Mucin-like protein",""
"46","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus20728-RA","Molecular Functions","Mucin-like protein",""
"47","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus20833-RA","Molecular Functions","Polycystin-1-like protein 2 (Polycystin-1L2) (PC1-like 2 protein) (Polycystic kidney disease protein 1-like 2)","Pkd1l2"
"48","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus22609-RA","Molecular Functions","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1","Svep1"
"49","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus23864-RA","Molecular Functions","Titin (EC 2.7.11.1) (Connectin) (Rhabdomyosarcoma antigen MU-RMS-40.14)","TTN"
"50","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus24443-RA","Molecular Functions","Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7)","Lrp4 Megf7"
"51","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus26171-RA","Molecular Functions","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1","Svep1"
"52","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus26174-RA","Molecular Functions","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1","Svep1"
"53","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus26179-RA","Molecular Functions","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1","Svep1"
"54","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus26181-RA","Molecular Functions","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (CCP module-containing protein 22) (Polydom) (Selectin-like osteoblast-derived protein) (SEL-OB) (Serologically defined breast cancer antigen NY-BR-38)","SVEP1 C9orf13 CCP22 SELOB"
"55","GO:0005509","calcium ion binding",928,55,21.3,4.7e-11,"Ahyacinthus26182-RA","Molecular Functions","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1","Svep1"
"56","GO:0098640","integrin binding involved in cell-matrix adhesion",29,9,0.67,1e-08,"Ahyacinthus10219-RA","Molecular Functions","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1","Svep1"
"57","GO:0098640","integrin binding involved in cell-matrix adhesion",29,9,0.67,1e-08,"Ahyacinthus14815-RA","Molecular Functions","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (CCP module-containing protein 22) (Polydom) (Selectin-like osteoblast-derived protein) (SEL-OB) (Serologically defined breast cancer antigen NY-BR-38)","SVEP1 C9orf13 CCP22 SELOB"
"58","GO:0098640","integrin binding involved in cell-matrix adhesion",29,9,0.67,1e-08,"Ahyacinthus20036-RA","Molecular Functions","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1","Svep1"
"59","GO:0098640","integrin binding involved in cell-matrix adhesion",29,9,0.67,1e-08,"Ahyacinthus22609-RA","Molecular Functions","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1","Svep1"
"60","GO:0098640","integrin binding involved in cell-matrix adhesion",29,9,0.67,1e-08,"Ahyacinthus26171-RA","Molecular Functions","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1","Svep1"
"61","GO:0098640","integrin binding involved in cell-matrix adhesion",29,9,0.67,1e-08,"Ahyacinthus26174-RA","Molecular Functions","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1","Svep1"
"62","GO:0098640","integrin binding involved in cell-matrix adhesion",29,9,0.67,1e-08,"Ahyacinthus26179-RA","Molecular Functions","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1","Svep1"
"63","GO:0098640","integrin binding involved in cell-matrix adhesion",29,9,0.67,1e-08,"Ahyacinthus26181-RA","Molecular Functions","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (CCP module-containing protein 22) (Polydom) (Selectin-like osteoblast-derived protein) (SEL-OB) (Serologically defined breast cancer antigen NY-BR-38)","SVEP1 C9orf13 CCP22 SELOB"
"64","GO:0098640","integrin binding involved in cell-matrix adhesion",29,9,0.67,1e-08,"Ahyacinthus26182-RA","Molecular Functions","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1","Svep1"
"65","GO:0005005","transmembrane-ephrin receptor activity",14,5,0.32,1e-05,"Ahyacinthus03987-RA","Molecular Functions","Ephrin type-B receptor 5 (EC 2.7.10.1) (EPH-like kinase 9) (EK9) (cEK9)","EPHB5 CEK9"
"66","GO:0005005","transmembrane-ephrin receptor activity",14,5,0.32,1e-05,"Ahyacinthus04009-RA","Molecular Functions","Ephrin type-A receptor 7 (EC 2.7.10.1) (EPH homology kinase 3) (EHK-3) (EPH-like kinase 11) (EK11) (hEK11)","EPHA7 EHK3 HEK11"
"67","GO:0005005","transmembrane-ephrin receptor activity",14,5,0.32,1e-05,"Ahyacinthus04013-RA","Molecular Functions","Ephrin type-B receptor 5 (EC 2.7.10.1) (EPH-like kinase 9) (EK9) (cEK9)","EPHB5 CEK9"
"68","GO:0005005","transmembrane-ephrin receptor activity",14,5,0.32,1e-05,"Ahyacinthus04016-RA","Molecular Functions","Ephrin type-B receptor 1 (EC 2.7.10.1)","Ephb1"
"69","GO:0005005","transmembrane-ephrin receptor activity",14,5,0.32,1e-05,"Ahyacinthus04018-RA","Molecular Functions","Ephrin type-B receptor 3 (EC 2.7.10.1) (Developmental kinase 5) (mDK-5) (Tyrosine-protein kinase receptor SEK-4)","Ephb3 Etk2 Mdk5 Sek4"
"70","GO:0001965","G-protein alpha-subunit binding",58,8,1.33,4.9e-05,"Ahyacinthus04475-RA","Molecular Functions","Polycystin-1-like protein 2 (Polycystin-1L2) (PC1-like 2 protein) (Polycystic kidney disease protein 1-like 2)","Pkd1l2"
"71","GO:0001965","G-protein alpha-subunit binding",58,8,1.33,4.9e-05,"Ahyacinthus04476-RA","Molecular Functions","Polycystin-1-like protein 2 (Polycystin-1L2) (PC1-like 2 protein) (Polycystic kidney disease protein 1-like 2)","Pkd1l2"
"72","GO:0001965","G-protein alpha-subunit binding",58,8,1.33,4.9e-05,"Ahyacinthus10561-RA","Molecular Functions","G protein-signaling modulator 2 (Mosaic protein LGN)","GPSM2 LGN"
"73","GO:0001965","G-protein alpha-subunit binding",58,8,1.33,4.9e-05,"Ahyacinthus15721-RA","Molecular Functions","Polycystin-1-like protein 2 (Polycystin-1L2) (PC1-like 2 protein) (Polycystic kidney disease protein 1-like 2)","Pkd1l2"
"74","GO:0001965","G-protein alpha-subunit binding",58,8,1.33,4.9e-05,"Ahyacinthus18591-RA","Molecular Functions","Polycystin-1-like protein 2 (Polycystin-1L2) (PC1-like 2 protein) (Polycystic kidney disease protein 1-like 2)","Pkd1l2"
"75","GO:0001965","G-protein alpha-subunit binding",58,8,1.33,4.9e-05,"Ahyacinthus20212-RA","Molecular Functions","Polycystin-1-like protein 2 (Polycystin-1L2) (PC1-like 2 protein) (Polycystic kidney disease protein 1-like 2)","Pkd1l2"
"76","GO:0001965","G-protein alpha-subunit binding",58,8,1.33,4.9e-05,"Ahyacinthus20215-RA","Molecular Functions","Polycystin-1-like protein 2 (Polycystin-1L2) (PC1-like 2 protein) (Polycystic kidney disease protein 1-like 2)","Pkd1l2"
"77","GO:0001965","G-protein alpha-subunit binding",58,8,1.33,4.9e-05,"Ahyacinthus20833-RA","Molecular Functions","Polycystin-1-like protein 2 (Polycystin-1L2) (PC1-like 2 protein) (Polycystic kidney disease protein 1-like 2)","Pkd1l2"
"78","GO:0004971","AMPA glutamate receptor activity",10,4,0.23,5.1e-05,"Ahyacinthus02542-RA","Molecular Functions","Glutamate receptor 4 (GluR-4) (GluR4) (AMPA-selective glutamate receptor 4) (GluR-D) (Glutamate receptor ionotropic, AMPA 4)","GRIA4 GluA4 GLUR4"
"79","GO:0004971","AMPA glutamate receptor activity",10,4,0.23,5.1e-05,"Ahyacinthus04093-RA","Molecular Functions","Glutamate receptor 3 (GluR-3) (AMPA-selective glutamate receptor 3) (GluR-C) (GluR-K3) (Glutamate receptor ionotropic, AMPA 3)","Gria3 GluA3 Glur3"
"80","GO:0004971","AMPA glutamate receptor activity",10,4,0.23,5.1e-05,"Ahyacinthus15396-RA","Molecular Functions","Glutamate receptor 1","glr-1 C06E1.4"
"81","GO:0004971","AMPA glutamate receptor activity",10,4,0.23,5.1e-05,"Ahyacinthus22218-RA","Molecular Functions","Glutamate receptor 4 (GluR-4) (GluR4) (AMPA-selective glutamate receptor 4) (GluR-D) (Glutamate receptor ionotropic, AMPA 4) (GluA4)","GRIA4 GLUR4"
"82","GO:0036312","phosphatidylinositol 3-kinase regulatory subunit bi...",39,6,0.9,0.00024,"Ahyacinthus09564-RA","Molecular Functions","Protein NLRC3","Nlrc3"
"83","GO:0036312","phosphatidylinositol 3-kinase regulatory subunit bi...",39,6,0.9,0.00024,"Ahyacinthus24982-RA","Molecular Functions","Protein NLRC3","Nlrc3"
"84","GO:0036312","phosphatidylinositol 3-kinase regulatory subunit bi...",39,6,0.9,0.00024,"Ahyacinthus24998-RA","Molecular Functions","NLR family CARD domain-containing protein 3 (CARD15-like protein) (Caterpiller protein 16.2) (CLR16.2) (NACHT, LRR and CARD domains-containing protein 3) (Nucleotide-binding oligomerization domain protein 3)","NLRC3 NOD3"
"85","GO:0036312","phosphatidylinositol 3-kinase regulatory subunit bi...",39,6,0.9,0.00024,"Ahyacinthus25872-RA","Molecular Functions","Protein NLRC3","Nlrc3"
"86","GO:0036312","phosphatidylinositol 3-kinase regulatory subunit bi...",39,6,0.9,0.00024,"Ahyacinthus26194-RA","Molecular Functions","Protein NLRC3","Nlrc3"
"87","GO:0036312","phosphatidylinositol 3-kinase regulatory subunit bi...",39,6,0.9,0.00024,"Ahyacinthus26731-RA","Molecular Functions","NLR family CARD domain-containing protein 3 (CARD15-like protein) (Caterpiller protein 16.2) (CLR16.2) (NACHT, LRR and CARD domains-containing protein 3) (Nucleotide-binding oligomerization domain protein 3)","NLRC3 NOD3"
"88","GO:0051033","RNA transmembrane transporter activity",7,3,0.16,0.00039,"Ahyacinthus21367-RA","Molecular Functions","SID1 transmembrane family member 1","SIDT1"
"89","GO:0051033","RNA transmembrane transporter activity",7,3,0.16,0.00039,"Ahyacinthus21370-RA","Molecular Functions","SID1 transmembrane family member 1","SIDT1"
"90","GO:0051033","RNA transmembrane transporter activity",7,3,0.16,0.00039,"Ahyacinthus21371-RA","Molecular Functions","SID1 transmembrane family member 1","SIDT1"
"91","GO:0042806","fucose binding",16,4,0.37,4e-04,"Ahyacinthus17076-RA","Molecular Functions","Fucolectin-1",""
"92","GO:0042806","fucose binding",16,4,0.37,4e-04,"Ahyacinthus17113-RA","Molecular Functions","Fucolectin-1",""
"93","GO:0042806","fucose binding",16,4,0.37,4e-04,"Ahyacinthus17549-RA","Molecular Functions","Fucolectin-1",""
"94","GO:0042806","fucose binding",16,4,0.37,4e-04,"Ahyacinthus17910-RA","Molecular Functions","Fucolectin-4",""
"95","GO:0061501","2',3'-cyclic GMP-AMP synthase activity",17,4,0.39,0.00051,"Ahyacinthus03486-RA","Molecular Functions","Cyclic GMP-AMP synthase-like receptor 2 (Sp-cGLR2) (EC 2.7.7.86)","cGLR2 MB21D2 AWC38_SpisGene17868"
"96","GO:0061501","2',3'-cyclic GMP-AMP synthase activity",17,4,0.39,0.00051,"Ahyacinthus11429-RA","Molecular Functions","Cyclic GMP-AMP synthase-like receptor 2 (Sp-cGLR2) (EC 2.7.7.86)","cGLR2 MB21D2 AWC38_SpisGene17868"
"97","GO:0061501","2',3'-cyclic GMP-AMP synthase activity",17,4,0.39,0.00051,"Ahyacinthus18331-RA","Molecular Functions","Cyclic GMP-AMP synthase-like receptor 2 (Sp-cGLR2) (EC 2.7.7.86)","cGLR2 MB21D2 AWC38_SpisGene17868"
"98","GO:0061501","2',3'-cyclic GMP-AMP synthase activity",17,4,0.39,0.00051,"Ahyacinthus24835-RA","Molecular Functions","Cyclic GMP-AMP synthase-like receptor (Pd-cGLR) (EC 2.7.7.86)","cGLR pdam_00011560"
"99","GO:0035198","miRNA binding",32,5,0.73,0.00075,"Ahyacinthus13626-RA","Molecular Functions","E3 ubiquitin-protein ligase TRIM71 (EC 2.3.2.27) (Protein lin-41 homolog) (RING-type E3 ubiquitin transferase TRIM71) (Tripartite motif-containing protein 71)","trim71 lin41"
"100","GO:0035198","miRNA binding",32,5,0.73,0.00075,"Ahyacinthus13628-RA","Molecular Functions","E3 ubiquitin-protein ligase TRIM71 (EC 2.3.2.27) (Protein lin-41 homolog) (RING-type E3 ubiquitin transferase TRIM71) (Tripartite motif-containing protein 71)","trim71 lin41"
"101","GO:0035198","miRNA binding",32,5,0.73,0.00075,"Ahyacinthus16634-RA","Molecular Functions","E3 ubiquitin-protein ligase TRIM71 (EC 2.3.2.27) (Protein lin-41 homolog) (RING-type E3 ubiquitin transferase TRIM71) (Tripartite motif-containing protein 71)","trim71 lin41"
"102","GO:0035198","miRNA binding",32,5,0.73,0.00075,"Ahyacinthus17581-RA","Molecular Functions","E3 ubiquitin-protein ligase TRIM71 (EC 2.3.2.27) (Protein lin-41 homolog) (RING-type E3 ubiquitin transferase TRIM71) (Tripartite motif-containing protein 71)","trim71 lin41"
"103","GO:0035198","miRNA binding",32,5,0.73,0.00075,"Ahyacinthus17840-RA","Molecular Functions","Terminal uridylyltransferase 4 (TUTase 4) (EC 2.7.7.52) (Zinc finger CCHC domain-containing protein 11)","TUT4 KIAA0191 ZCCHC11"
"104","GO:0030971","receptor tyrosine kinase binding",34,5,0.78,0.00099,"Ahyacinthus09315-RA","Molecular Functions","Ras GTPase-activating protein 1 (GAP) (GTPase-activating protein) (RasGAP) (Ras p21 protein activator) (p120GAP)","Rasa1 Rasa"
"105","GO:0030971","receptor tyrosine kinase binding",34,5,0.78,0.00099,"Ahyacinthus10638-RA","Molecular Functions","Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7)","LRP4 KIAA0816 LRP10 MEGF7"
"106","GO:0030971","receptor tyrosine kinase binding",34,5,0.78,0.00099,"Ahyacinthus17818-RA","Molecular Functions","Receptor-type tyrosine-protein phosphatase F (EC 3.1.3.48) (Leukocyte common antigen related) (LAR)","Ptprf Lar"
"107","GO:0030971","receptor tyrosine kinase binding",34,5,0.78,0.00099,"Ahyacinthus17919-RA","Molecular Functions","Receptor-type tyrosine-protein phosphatase F (EC 3.1.3.48) (Leukocyte common antigen related) (LAR)","Ptprf Lar"
"108","GO:0030971","receptor tyrosine kinase binding",34,5,0.78,0.00099,"Ahyacinthus24443-RA","Molecular Functions","Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7)","Lrp4 Megf7"
"109","GO:0030246","carbohydrate binding",272,19,6.24,0.00154,"Ahyacinthus04475-RA","Molecular Functions","Polycystin-1-like protein 2 (Polycystin-1L2) (PC1-like 2 protein) (Polycystic kidney disease protein 1-like 2)","Pkd1l2"
"110","GO:0030246","carbohydrate binding",272,19,6.24,0.00154,"Ahyacinthus04476-RA","Molecular Functions","Polycystin-1-like protein 2 (Polycystin-1L2) (PC1-like 2 protein) (Polycystic kidney disease protein 1-like 2)","Pkd1l2"
"111","GO:0030246","carbohydrate binding",272,19,6.24,0.00154,"Ahyacinthus05724-RA","Molecular Functions","Aggrecan core protein (Cartilage-specific proteoglycan core protein) (CSPCP)","ACAN AGC1"
"112","GO:0030246","carbohydrate binding",272,19,6.24,0.00154,"Ahyacinthus10988-RA","Molecular Functions","Lysyl oxidase homolog 2 (EC 1.4.3.13) (Lysyl oxidase-like protein 2)","Loxl2"
"113","GO:0030246","carbohydrate binding",272,19,6.24,0.00154,"Ahyacinthus12463-RA","Molecular Functions","Versican core protein (Chondroitin sulfate proteoglycan core protein 2) (Chondroitin sulfate proteoglycan 2) (Large fibroblast proteoglycan) (PG-M)","VCAN CSPG2"
"114","GO:0030246","carbohydrate binding",272,19,6.24,0.00154,"Ahyacinthus13453-RA","Molecular Functions","C-type lectin domain family 4 member A (C-type lectin superfamily member 6) (Dendritic cell inhibitory receptor) (CD antigen CD367)","Clec4a Clecsf6 Dcir"
"115","GO:0030246","carbohydrate binding",272,19,6.24,0.00154,"Ahyacinthus13473-RA","Molecular Functions","C-type lectin domain family 4 member A (C-type lectin superfamily member 6) (Dendritic cell inhibitory receptor) (CD antigen CD367)","Clec4a Clecsf6 Dcir"
"116","GO:0030246","carbohydrate binding",272,19,6.24,0.00154,"Ahyacinthus15721-RA","Molecular Functions","Polycystin-1-like protein 2 (Polycystin-1L2) (PC1-like 2 protein) (Polycystic kidney disease protein 1-like 2)","Pkd1l2"
"117","GO:0030246","carbohydrate binding",272,19,6.24,0.00154,"Ahyacinthus16249-RA","Molecular Functions","Adhesion G protein-coupled receptor L1 (Calcium-independent alpha-latrotoxin receptor 1) (CIRL-1) (Latrophilin-1)","ADGRL1 LPHN1"
"118","GO:0030246","carbohydrate binding",272,19,6.24,0.00154,"Ahyacinthus17076-RA","Molecular Functions","Fucolectin-1",""
"119","GO:0030246","carbohydrate binding",272,19,6.24,0.00154,"Ahyacinthus17113-RA","Molecular Functions","Fucolectin-1",""
"120","GO:0030246","carbohydrate binding",272,19,6.24,0.00154,"Ahyacinthus17549-RA","Molecular Functions","Fucolectin-1",""
