overlap_bp,read_pairs,Replicate
1,0.2177950777,Nvec_4
2,2.348301857,Nvec_4
3,5.421426217,Nvec_4
4,14.21693298,Nvec_4
5,4.260911855,Nvec_4
6,8.189317398,Nvec_4
7,3.362531131,Nvec_4
8,3.525699054,Nvec_4
9,,Nvec_4
10,40.14913978,Nvec_4
11,9.249258518,Nvec_4
12,1.869480071,Nvec_4
13,7.512091436,Nvec_4
14,0.2857142857,Nvec_4
15,0.04390231364,Nvec_4
16,4.363159362,Nvec_4
17,1.332346713,Nvec_4
18,5.341317905,Nvec_4
19,5.309164756,Nvec_4
20,5.85291758,Nvec_4
21,2.307598277,Nvec_4
22,50.99951715,Nvec_4
23,1526.884592,Nvec_4
24,0.4281023089,Nvec_4
25,6.366380783,Nvec_4
26,0.9393178738,Nvec_4
27,4.468923655,Nvec_4
28,,Nvec_4
29,0.5632403772,Nvec_4
30,,Nvec_4
31,,Nvec_4
32,4,Nvec_4
33,,Nvec_4
34,,Nvec_4
1,29.73345322,Nvec_1
2,4.167982349,Nvec_1
3,2.065535165,Nvec_1
4,3.12965248,Nvec_1
5,13.68549005,Nvec_1
6,7.045273551,Nvec_1
7,3.300853378,Nvec_1
8,6.198666539,Nvec_1
9,5.723790031,Nvec_1
10,87.26308831,Nvec_1
11,14.21872121,Nvec_1
12,4.780239949,Nvec_1
13,0.5,Nvec_1
14,3.468367226,Nvec_1
15,3.156071866,Nvec_1
16,5.431339927,Nvec_1
17,1.070170347,Nvec_1
18,63.5980524,Nvec_1
19,3.681871087,Nvec_1
20,2.160037172,Nvec_1
21,8.914267323,Nvec_1
22,4.938850798,Nvec_1
23,42.37818386,Nvec_1
24,3062.868902,Nvec_1
25,0.5,Nvec_1
26,2.045864602,Nvec_1
27,2.488548702,Nvec_1
28,1.120842425,Nvec_1
29,0.1540361429,Nvec_1
30,,Nvec_1
31,,Nvec_1
32,,Nvec_1
33,,Nvec_1
34,,Nvec_1
1,1.89815472,Nvec_2
2,0.4197347425,Nvec_2
3,1.333732029,Nvec_2
4,11.94300245,Nvec_2
5,,Nvec_2
6,2.02551312,Nvec_2
7,3.357853608,Nvec_2
8,3.266026313,Nvec_2
9,1.040935578,Nvec_2
10,24.55559779,Nvec_2
11,1.33773026,Nvec_2
12,0.2562149716,Nvec_2
13,1.41806182,Nvec_2
14,1.115773807,Nvec_2
15,1.255803667,Nvec_2
16,0.2,Nvec_2
17,1.736816267,Nvec_2
18,0.4370455343,Nvec_2
19,0.1480435894,Nvec_2
20,,Nvec_2
21,1.038236144,Nvec_2
22,0.8256327119,Nvec_2
23,8,Nvec_2
24,0.3527881464,Nvec_2
25,0.4931366971,Nvec_2
26,2.18607202,Nvec_2
27,1.709232228,Nvec_2
28,,Nvec_2
29,,Nvec_2
30,,Nvec_2
31,,Nvec_2
32,,Nvec_2
33,,Nvec_2
34,,Nvec_2
1,4.226549441,Nvec_3
2,7.445192408,Nvec_3
3,9.919548125,Nvec_3
4,2.937189825,Nvec_3
5,9.684581629,Nvec_3
6,7.518720699,Nvec_3
7,15.65614222,Nvec_3
8,13.98258391,Nvec_3
9,8.563937589,Nvec_3
10,84.46933867,Nvec_3
11,14.93157823,Nvec_3
12,10.6777787,Nvec_3
13,7.396031472,Nvec_3
14,12.55939681,Nvec_3
15,12.7420805,Nvec_3
16,22.66320521,Nvec_3
17,26.31980425,Nvec_3
18,7.671074272,Nvec_3
19,10.1066547,Nvec_3
20,12.58125372,Nvec_3
21,21.49452931,Nvec_3
22,10.69022679,Nvec_3
23,11.60562238,Nvec_3
24,78.04451063,Nvec_3
25,3.889451389,Nvec_3
26,9.081617127,Nvec_3
27,0.0270856382,Nvec_3
28,0.9356341784,Nvec_3
29,1.271860047,Nvec_3
30,,Nvec_3
31,,Nvec_3
32,,Nvec_3
33,0.3319765506,Nvec_3
34,,Nvec_3
