overlap_bp,read_pairs,Replicate
1,10754.05784,Ahya_1
2,15056.32577,Ahya_1
3,16903.98622,Ahya_1
4,19065.65089,Ahya_1
5,16853.3749,Ahya_1
6,15405.55933,Ahya_1
7,13986.51417,Ahya_1
8,14814.23526,Ahya_1
9,37630.39239,Ahya_1
10,477563.8956,Ahya_1
11,62965.6616,Ahya_1
12,25846.79646,Ahya_1
13,33367.7819,Ahya_1
14,53959.07807,Ahya_1
15,12587.00019,Ahya_1
16,56753.50503,Ahya_1
17,98309.39783,Ahya_1
18,99821.8053,Ahya_1
19,222739.6109,Ahya_1
20,109170.1814,Ahya_1
21,18691.53699,Ahya_1
22,11968.62456,Ahya_1
23,18093.61549,Ahya_1
24,20375.35089,Ahya_1
25,26553.67874,Ahya_1
26,11851.23599,Ahya_1
27,10558.14842,Ahya_1
28,6837.667867,Ahya_1
29,1761.355059,Ahya_1
30,43.28559209,Ahya_1
31,23.22110566,Ahya_1
32,,Ahya_1
33,,Ahya_1
34,,Ahya_1
1,152.9503985,Ahya_2
2,264.6017255,Ahya_2
3,273.605947,Ahya_2
4,256.2566332,Ahya_2
5,591.6321788,Ahya_2
6,364.0559168,Ahya_2
7,252.5487806,Ahya_2
8,267.8980925,Ahya_2
9,727.5202569,Ahya_2
10,4220.667233,Ahya_2
11,1261.802603,Ahya_2
12,719.3915219,Ahya_2
13,2273.473343,Ahya_2
14,543.7249352,Ahya_2
15,1778.920422,Ahya_2
16,2137.833746,Ahya_2
17,2131.053751,Ahya_2
18,4934.046716,Ahya_2
19,3784.56303,Ahya_2
20,3056.891505,Ahya_2
21,2992.423101,Ahya_2
22,1268.210852,Ahya_2
23,1615.949464,Ahya_2
24,1215.643247,Ahya_2
25,2808.249264,Ahya_2
26,939.4679322,Ahya_2
27,1165.962386,Ahya_2
28,58.18081141,Ahya_2
29,114.5066558,Ahya_2
30,8.782715035,Ahya_2
31,,Ahya_2
32,,Ahya_2
33,,Ahya_2
34,,Ahya_2
1,7111.935257,Ahya_3
2,7822.430272,Ahya_3
3,8726.065099,Ahya_3
4,8085.63566,Ahya_3
5,12986.90906,Ahya_3
6,12400.41945,Ahya_3
7,28434.26925,Ahya_3
8,15174.78436,Ahya_3
9,40652.25581,Ahya_3
10,274307.2571,Ahya_3
11,22024.20118,Ahya_3
12,30555.43008,Ahya_3
13,15599.2255,Ahya_3
14,16073.25615,Ahya_3
15,12440.04738,Ahya_3
16,19823.73368,Ahya_3
17,15755.80256,Ahya_3
18,13883.86014,Ahya_3
19,17028.13548,Ahya_3
20,14593.97489,Ahya_3
21,12338.87901,Ahya_3
22,12591.77045,Ahya_3
23,18290.85875,Ahya_3
24,26623.11618,Ahya_3
25,17710.09407,Ahya_3
26,14864.50879,Ahya_3
27,11397.57025,Ahya_3
28,4367.687093,Ahya_3
29,637.5198059,Ahya_3
30,176.4202522,Ahya_3
31,1.706343684,Ahya_3
32,48.52544617,Ahya_3
33,,Ahya_3
34,,Ahya_3
1,9205.597986,Ahya_4
2,5248.334151,Ahya_4
3,3548.226631,Ahya_4
4,5278.384899,Ahya_4
5,9466.213052,Ahya_4
6,6958.168706,Ahya_4
7,7880.100401,Ahya_4
8,7681.845541,Ahya_4
9,18409.42411,Ahya_4
10,130557.1895,Ahya_4
11,27298.27733,Ahya_4
12,34080.33019,Ahya_4
13,16070.39629,Ahya_4
14,21769.69061,Ahya_4
15,27812.11205,Ahya_4
16,49611.81711,Ahya_4
17,43021.96833,Ahya_4
18,35571.38861,Ahya_4
19,37143.98083,Ahya_4
20,35488.37351,Ahya_4
21,61355.52011,Ahya_4
22,28926.69863,Ahya_4
23,49311.73336,Ahya_4
24,43098.29481,Ahya_4
25,24402.30998,Ahya_4
26,16796.99299,Ahya_4
27,17310.31044,Ahya_4
28,1937.026792,Ahya_4
29,334.0120112,Ahya_4
30,23.93132187,Ahya_4
31,7.85517552,Ahya_4
32,0.4216196533,Ahya_4
33,,Ahya_4
34,,Ahya_4
