"","GO.ID","Term","Annotated","Significant","Expected","Fisher","Genes","ontology","Protein","Protein_abbrv"
"1","GO:0003735","structural constituent of ribosome",162,23,1.29,2.6e-22,"evm.model.Ap1.1421","Molecular Functions","Large ribosomal subunit protein eL36 (60S ribosomal protein L36)","RpL36"
"2","GO:0003735","structural constituent of ribosome",162,23,1.29,2.6e-22,"evm.model.Ap1.3652","Molecular Functions","Large ribosomal subunit protein uL18A (60S ribosomal protein L5-A)","rpl5-a"
"3","GO:0003735","structural constituent of ribosome",162,23,1.29,2.6e-22,"evm.model.Ap10.328","Molecular Functions","Large ribosomal subunit protein eL20 (60S ribosomal protein L18a)","RPL18A"
"4","GO:0003735","structural constituent of ribosome",162,23,1.29,2.6e-22,"evm.model.Ap11.159_evm.model.Ap11.139_evm.model.Ap11.140_evm.model.Ap11.148","Molecular Functions","Polyubiquitin-C [Cleaved into: Ubiquitin-related; Ubiquitin]","UBC"
"5","GO:0003735","structural constituent of ribosome",162,23,1.29,2.6e-22,"evm.model.Ap12.1169","Molecular Functions","Small ribosomal subunit protein uS2 (40S ribosomal protein SA)","v1g198553"
"6","GO:0003735","structural constituent of ribosome",162,23,1.29,2.6e-22,"evm.model.Ap12.1420","Molecular Functions","Small ribosomal subunit protein uS5 (40S ribosomal protein S2)","rps2"
"7","GO:0003735","structural constituent of ribosome",162,23,1.29,2.6e-22,"evm.model.Ap12.1529","Molecular Functions","Large ribosomal subunit protein uL16 (60S ribosomal protein L10) (QM protein homolog) (dQM)","RpL10 Qm CG17521"
"8","GO:0003735","structural constituent of ribosome",162,23,1.29,2.6e-22,"evm.model.Ap12.1542","Molecular Functions","Large ribosomal subunit protein uL3 (60S ribosomal protein L3) (HIV-1 TAR RNA-binding protein B) (TARBP-B)","RPL3 OK/SW-cl.32"
"9","GO:0003735","structural constituent of ribosome",162,23,1.29,2.6e-22,"evm.model.Ap12.1583","Molecular Functions","Large ribosomal subunit protein eL18 (60S ribosomal protein L18)","RpL18"
"10","GO:0003735","structural constituent of ribosome",162,23,1.29,2.6e-22,"evm.model.Ap12.84","Molecular Functions","Small ribosomal subunit protein uS8 (40S ribosomal protein S15a)","rps15a"
"11","GO:0003735","structural constituent of ribosome",162,23,1.29,2.6e-22,"evm.model.Ap12.934","Molecular Functions","Small ribosomal subunit protein uS4 (40S ribosomal protein S9)","RpS9 GE21228"
"12","GO:0003735","structural constituent of ribosome",162,23,1.29,2.6e-22,"evm.model.Ap13.2149","Molecular Functions","S1 RNA-binding domain-containing protein 1","SRBD1"
"13","GO:0003735","structural constituent of ribosome",162,23,1.29,2.6e-22,"evm.model.Ap3.1994","Molecular Functions","Small ribosomal subunit protein eS7 (40S ribosomal protein S7) (40S ribosomal protein S8)","rps7 rps8"
"14","GO:0003735","structural constituent of ribosome",162,23,1.29,2.6e-22,"evm.model.Ap5.206","Molecular Functions","Small ribosomal subunit protein eS1 (40S ribosomal protein S3a)","v1g242621"
"15","GO:0003735","structural constituent of ribosome",162,23,1.29,2.6e-22,"evm.model.Ap5.2792","Molecular Functions","Large ribosomal subunit protein eL31 (60S ribosomal protein L31)","rpl31"
"16","GO:0003735","structural constituent of ribosome",162,23,1.29,2.6e-22,"evm.model.Ap5.535","Molecular Functions","Small ribosomal subunit protein uS3 (EC 4.2.99.18) (40S ribosomal protein S3)","RPS3"
